text,rating,job_title,platform,source
"I've worked for amazon for almost 2 years now, and the atmosphere is great. great time off benefits, and easy for growth in the company.",4.5,Anonymous Employee,careerbliss,amazon
"Working at Amazon has taught me quite a lot! Being able to have hands-on experience and see how operations work behind the scene is an amazing scene. If walking and heavy lifting in a semi-face paced environment is not your kind of job, then I wouldn't recommend working at your favorite online retailer.",3.1,Warehouse Assistant,careerbliss,amazon
"Very fun, nice people and learn about products every day.",5,Warehouse and Shipping Worker,careerbliss,amazon
I worked at Amazon as a contract recruiter. The culture is amazing with co-workers that feel like family. The work I did was both a challenge and extremely rewarding. I would recommend anyone work there.,5,Recruiter,careerbliss,amazon
"I've worked in Amazon since 2018 as an SDE. As a fast-paced company, Amazon brings lots of challenges to SDEs, but these challenges help engineers grow. Also, there are many brilliant colleagues and abundant resources you can learn from. I will recommend Amazon as the head starts in your career.",4.3,Anonymous Employee,careerbliss,amazon
"I started Amazon as a delivery associate when the company first opened the delivery site in Gary, IN. The training that Amazon provides is outstanding and far more detailed than many other companies.",4.8,Anonymous Employee,careerbliss,amazon
great place to work. I did work from home and that gave me flexibility to do my work at my own time but also kept me in check because I had to keep my pace up.,5,Anonymous Employee,careerbliss,amazon
"I worked for Amazon for 2 years.  I was promoted twice to Area Manager within exactly 1 calendar year so I must have been doing something right.  The overall environment of the Fulfillment Centers is very challenging in positive and negative ways.  If you value pushing yourself to areas you did not know were possible then you can come out with a positive experience that can be used for any walk of life.  However, if I think about the overall experience, I would confidently say that the culture is extremely toxic.  There is no better way to say it than just say it.  There are way too many people who are in positions of leadership that are insanely under qualified.  I had Operations Managers who had no idea how to talk to people.  Managers who would sit in an office all day on YouTube and make their supervisors run the shift.  The HR representatives (that are remote/not on site) give you ZERO CONFIDENCE when slippery issues arise.  They also have a track record of paying external talent INSANELY MORE than associates who were promoted from within.  I was making $10-15k less than my fellow managers who were external applicants.  You get less stock units and less salary.  Everybody talks.  The competition revolves around a toxic culture of taking credit for anything and everything as simple as hanging a sign on a door.  You absolutely can't just get the numbers and results with this company, you have to be able to play serious politics with a bunch of people who are terrible at their job and are terrible at communicating with other humans.  The running joke/theme was you have to play the game of CYA (cover your ass).  The micromanaging from Ops is brutal as well.  You are a manager yet are rarely trusted to manage without someone hawking over your shoulder.

I take everything as a learning experience, I have the right attitude and anything I learned will be used to forward myself and others.  Sometimes negative experiences are the most valuable ones.",2.6,Area Manager,careerbliss,amazon
I've worked for Amazon for over a year and I have found it to be a very flexible company that allows you to grow and learn.,4.1,Anonymous Employee,careerbliss,amazon
A good company to work for but upper management is congested and there is not much of a career path as you move up.,3.8,Anonymous Employee,careerbliss,amazon
The work culture is not something I'd wish to be in for the long run.,3.4,Anonymous Employee,careerbliss,amazon
good environment to work at,3,Anonymous Employee,careerbliss,amazon
"I worked at Amazon for 10 months and I was let go due to being a seasonal employee. But the time that I worked there, it was entertaining and tedious at the same time. Get to meet some great co-workers, upper management was relatively easy-going people, but the only part that I did not like were the breaks that they'd give. 15 min breaks were technically only about 10 min since the walk to our stations to the break room was ~2min 15sec long. other than that, it's a good job for what it pays.",4,Warehouse Associate,careerbliss,amazon
"Amazon is an ever growing and changing company.  They really push you to go try things like new projects or new positions.  You definitely work hard, but try to have fun in the process as well.",4,Anonymous Employee,careerbliss,amazon
"I worked at Amazon (AWS) as a contractor recruiting coordinator from June 2019 to May 2020. It was a great experience and you always have something to do. It's fast-paced so you need to be ready to juggle a lot of tasks on a daily basis. 

Overall, it was a great experience. Majority of your day is spent scheduling interviews and definitely look to find new projects to take on, to get that variety. I'm happy with my experience at Amazon!",4.6,Recruiting Coordinator,careerbliss,amazon
It was an awesome experience to work for Amazon. It was a great learning experience.,4.6,Anonymous Employee,careerbliss,amazon
"In my opinion, working as a delivery driver for amazon has been a good experience all around. It has limited room for growth depending on what your aspirations are. For the most part, it provides fair pay for a fair amount of physical labor. Management is amazing, very proficient and kind with their employees. Never had an issue with management or co-workers.",4.4,Lead Delivery Driver,careerbliss,amazon
"I have worked with Amazon for a few months so far and the work environment is great.  It is a high paced environment, so there is always a task to be completed.  There always is a new challenge awaiting every time you are fulfilling an order and my coworkers and supervisors are very helpful when I have a question or am confused on how to complete a task.",4.9,Anonymous Employee,careerbliss,amazon
"Amazon gave me the opportunity to learn and grow. IT was challenging at the same time, just the massive scale of operations in amazon is amazing.",4.4,Anonymous Employee,careerbliss,amazon
"With more than 5 years of experience in Amazon, I can tell that the company has great respect and values for the workers.",4.8,Fulfillment Associate,careerbliss,amazon
I'm only working there currently because work is slow everywhere.,4.3,Picker,careerbliss,amazon
Amazon is a fantastic place to work.,4.1,Anonymous Employee,careerbliss,amazon
it s a good company to work to,4,Software Development Engineer in Test,careerbliss,amazon
